,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_MT,NU_NOTA_CH,NU_NOTA_LC,Inscritos,%_Média_Presença,NU_NOTA_REDACAO,Media_Nota_Geral,Inscritos_Representacao,SG_UF_PROVA,codigo_ibge
196,TAQUARITINGA,506.2112903225807,554.8075268817204,524.9875324675324,516.8384415584416,490.0,77.245,650.2374670184696,550.6164516497489,0.1,SP,3553708
197,TATUÍ,505.44440476190476,556.6130952380952,534.9991111111111,520.9025555555555,1254.0,69.38,618.0022962112514,547.1922925755837,0.25,SP,3554003
198,TAUBATÉ,523.8525939849624,584.4431203007518,557.9732174529976,540.0134799574317,3722.0,73.60499999999999,667.8441369264384,574.8253097245163,0.73,SP,3554102
199,TEODORO SAMPAIO,470.59220779220783,514.2761904761904,503.68204081632655,495.56775510204085,338.0,70.41499999999999,578.6666666666666,512.5569721706864,0.07,SP,3554300
200,TIETÊ,511.9875802997859,567.3723768736617,537.9800411522633,523.2615226337449,641.0,74.335,660.25,560.1703041918911,0.13,SP,3554508
201,TUPÃ,504.0248216833096,562.0047075606277,533.227897574124,520.2234501347709,975.0,74.0,655.2022315202231,554.9366216946111,0.19,SP,3555000
202,UBATUBA,504.37326530612245,560.6857142857143,537.2751423149905,524.4172675521822,745.0,68.255,615.4117647058823,548.4326308329784,0.15,SP,3555406
203,VALINHOS,543.5847198641766,611.682767402377,569.4076736672051,547.5697092084007,1509.0,80.05000000000001,674.7005742411812,589.389088876668,0.3,SP,3556206
204,VARGEM GRANDE PAULISTA,518.7938356164384,565.775799086758,543.5294505494505,527.4452747252748,622.0,71.785,640.3619909502263,559.1812701856295,0.12,SP,3556453
205,VARGEM GRANDE DO SUL,507.2890829694323,553.0960698689956,526.9235059760956,510.5573705179283,369.0,65.03999999999999,636.9874476987447,546.9706954062393,0.07,SP,3556404
206,VINHEDO,542.640779610195,606.3523238380809,567.9964689265537,550.7918079096045,926.0,74.245,687.6436781609195,591.0850116890707,0.18,SP,3556701
207,VOTORANTIM,508.26912442396315,556.4804915514593,542.9106534090909,525.9992897727273,1016.0,66.68,628.3815028901735,552.4082124094828,0.2,SP,3557006
208,VOTUPORANGA,504.55146579804557,564.4407980456026,526.7053488372093,516.6648837209302,1676.0,75.12,655.3711093375898,553.5467211478756,0.33,SP,3557105
209,VÁRZEA PAULISTA,498.81135802469134,550.679012345679,537.6528735632183,519.828275862069,642.0,65.42,625.8823529411765,546.5707745473668,0.13,SP,3556503
