,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_MT,NU_NOTA_CH,NU_NOTA_LC,Inscritos,%_Média_Presença,NU_NOTA_REDACAO,Media_Nota_Geral,Inscritos_Representacao,SG_UF_PROVA,codigo_ibge
100,JUNDIAÍ,527.7690614722995,594.8438907159119,557.2049438738954,539.0202053976594,5472.0,74.38,666.8660345246778,577.1408271968888,1.07,SP,3525904
101,JUQUITIBA,485.7006993006993,526.0223776223776,515.6564356435644,504.79999999999995,458.0,64.305,595.068493150685,525.4496011434652,0.09,SP,3526209
102,LEME,523.0837359098228,583.5495974235105,549.6751152073733,529.4519201228878,845.0,75.265,668.1987577639752,570.7918252855139,0.17,SP,3526704
103,LENÇÓIS PAULISTA,518.7790419161677,578.67125748503,549.780303030303,533.2573863636364,681.0,75.55,669.0769230769231,569.9129823744121,0.13,SP,3526803
104,LIMEIRA,522.8521061499579,585.1271272114575,552.676848874598,536.1139067524116,3460.0,70.25999999999999,659.5257563368765,571.2591490650603,0.68,SP,3526902
105,LINS,499.14525423728816,546.4103389830508,525.7547770700637,517.6611464968153,896.0,67.97,631.5584415584416,544.105991669132,0.18,SP,3527108
106,LORENA,514.2986559139786,572.014247311828,545.807898089172,530.3411464968153,1052.0,72.67,659.3514915693904,564.3626878762368,0.21,SP,3527207
107,LOUVEIRA,502.1053231939164,563.0562737642585,544.710071942446,527.2122302158274,404.0,66.955,641.9188191881918,555.800543660928,0.08,SP,3527306
108,MAIRINQUE,503.44769585253454,548.3320276497695,539.766004415011,521.4973509933775,604.0,73.425,616.2758620689655,545.8637881959316,0.12,SP,3528403
109,MAIRIPORÃ,508.6426829268293,559.105894308943,544.9442495126706,526.9941520467836,751.0,66.91,632.286282306163,554.394652220278,0.15,SP,3528502
110,MARTINÓPOLIS,497.236329588015,547.1374531835206,519.6443262411348,504.468085106383,375.0,73.2,618.4172661870504,537.3806920612208,0.07,SP,3529203
111,MARÍLIA,517.5283441793202,575.0377078814172,541.224203601108,526.2525969529086,3883.0,72.805,672.1428571428571,566.4371419515222,0.76,SP,3529005
112,MATÃO,516.9757911392405,574.3055379746835,542.7579025110782,531.5742983751846,910.0,71.92500000000001,650.960960960961,563.3148981922296,0.18,SP,3529302
113,MAUÁ,493.66690504568936,545.4634485498609,533.6606968902211,521.3627201198951,3823.0,67.825,618.1495759444873,542.4606693100308,0.75,SP,3529401
114,MIRACATU,485.25,543.7,529.1232876712329,511.4102739726027,214.0,66.82,631.830985915493,540.2629095118657,0.04,SP,3529906
115,MIRANDÓPOLIS,493.6576791808874,551.7034129692832,527.1285245901639,510.52688524590167,382.0,78.27000000000001,629.7643097643098,542.5561623501092,0.07,SP,3530102
116,MIRANTE DO PARANAPANEMA,478.625,527.053488372093,508.48548387096776,491.5930107526882,249.0,71.89,606.927374301676,522.536871459485,0.05,SP,3530201
117,MIRASSOL,516.0402083333333,572.7325,546.5197211155379,528.3384462151395,636.0,77.2,652.8888888888889,563.3039529105799,0.12,SP,3530300
118,MOCOCA,513.910260115607,573.542774566474,536.5871900826446,523.986914600551,908.0,78.085,687.843137254902,567.1740553240357,0.18,SP,3530508
119,MOGI GUAÇU,521.4576200417537,580.2156576200417,549.4691333982473,531.2312560856865,1389.0,71.455,644.3141153081511,565.337556490776,0.27,SP,3530706
120,MOGI MIRIM,526.1660949868074,585.9439313984169,554.5965994962216,533.9991183879093,989.0,78.46000000000001,661.8741976893454,572.5159883917402,0.19,SP,3530805
121,MOGI DAS CRUZES,509.1875,567.8199720670391,541.0561908950957,525.525709258852,6326.0,69.895,643.5607772254858,557.4300298892945,1.24,SP,3530607
122,MONGAGUÁ,492.0222222222222,531.6854166666667,531.250803858521,520.5639871382637,484.0,61.88,612.6421404682275,537.6329140707801,0.09,SP,3531100
123,MONTE ALTO,518.3416020671835,579.0552971576227,539.0937198067633,523.2053140096618,523.0,76.58,678.8669950738916,567.7125856230247,0.1,SP,3531308
124,MONTE APRAZÍVEL,515.4859375,572.895625,532.8204747774481,520.586943620178,398.0,82.535,655.4078549848942,559.439367176504,0.08,SP,3531407
125,MONTE MOR,499.57880434782606,543.8972826086957,530.1447570332481,517.0179028132992,583.0,65.095,607.1502590673575,539.5578011740854,0.11,SP,3531803
126,NOVA ODESSA,507.0335858585858,567.9411616161616,546.6412195121951,530.7173170731708,540.0,74.63,649.25,560.3166568120226,0.11,SP,3533403
127,NOVO HORIZONTE,503.0020089285714,560.9622767857143,517.6221739130435,513.5897826086956,587.0,77.34,703.4878587196469,559.7328201911344,0.12,SP,3533502
128,OLÍMPIA,513.3760489510489,568.8571678321678,540.5077181208053,526.0431208053692,766.0,76.24000000000001,646.1538461538462,558.9875803726475,0.15,SP,3533908
129,ORLÂNDIA,500.2812176165803,550.3360103626943,527.3311028500619,509.63506815365554,1034.0,76.35499999999999,681.5541401273886,553.8275078220761,0.2,SP,3534302
130,OSASCO,506.5778834894614,556.4708723653396,544.8670242407355,526.9970186681527,9794.0,71.525,641.3601943134734,555.2545986154324,1.92,SP,3534401
131,OSVALDO CRUZ,506.6635135135135,569.4236486486486,542.5634615384615,526.9477564102565,418.0,72.725,655.0,560.1196760221761,0.08,SP,3534609
132,OURINHOS,504.5852428964253,564.6739688359304,533.3851916376307,521.288850174216,1581.0,70.81,626.1016949152543,550.0069896918912,0.31,SP,3534708
133,PARAGUAÇU PAULISTA,499.72891891891896,551.7627027027028,533.3881443298969,519.016237113402,527.0,71.91499999999999,622.9629629629629,545.3717932055768,0.1,SP,3535507
134,PAULÍNIA,528.822822491731,585.2478500551268,556.0022245762711,536.7261652542373,1259.0,73.51,653.8079827400215,572.1214090234776,0.25,SP,3536505
135,PEDERNEIRAS,511.89386973180075,572.8823754789272,541.1234432234432,530.9234432234432,372.0,71.775,666.8181818181819,564.7282626951593,0.07,SP,3536703
136,PEDREIRA,505.181974248927,563.7832618025751,530.7838709677419,517.1866935483871,395.0,60.885000000000005,618.6721991701245,547.1215999475511,0.08,SP,3537107
137,PENÁPOLIS,509.9569911504425,561.221946902655,543.5766386554621,526.9973109243698,747.0,77.64500000000001,659.1018998272884,560.1709574920435,0.15,SP,3537305
138,PEREIRA BARRETO,488.0751824817518,540.0094890510949,519.112937062937,504.3832167832168,349.0,80.23,596.085409252669,529.533246926334,0.07,SP,3537404
139,PERUÍBE,496.0583732057416,542.0505582137162,525.4381656804734,510.85887573964493,1006.0,64.765,603.6196319018405,535.6051209482833,0.2,SP,3537602
140,PIEDADE,511.47948051948055,561.7672727272727,541.021271393643,521.7242053789731,568.0,69.89500000000001,630.1005025125628,553.2185465063865,0.11,SP,3537800
141,PILAR DO SUL,501.11742424242425,571.407196969697,532.431541218638,516.4806451612903,386.0,70.33500000000001,632.9850746268656,550.8843764437831,0.08,SP,3537909
142,PINDAMONHANGABA,513.7720588235294,570.4289522058823,545.053127753304,532.8210572687225,1561.0,71.205,659.9636363636364,564.4077664830149,0.31,SP,3538006
143,PIRACICABA,528.9700811359027,587.8787271805274,559.1710418177423,539.3444041576021,5477.0,73.77000000000001,670.6242289661978,577.1976966515945,1.07,SP,3538709
144,PIRAJU,502.5789883268483,569.3013618677044,542.1194805194806,525.8055658627087,727.0,72.42,621.2167300380228,552.2044253229529,0.14,SP,3538808
145,PIRAJUÍ,490.7691176470588,538.7107843137255,521.262962962963,508.5708333333333,288.0,72.91499999999999,621.1428571428571,536.0913110799877,0.06,SP,3538907
146,PIRASSUNUNGA,531.2471343873517,588.127766798419,554.0769230769231,535.0636277302943,1312.0,78.695,682.9643888354186,578.2959681656814,0.26,SP,3539301
147,PITANGUEIRAS,485.175,549.175925925926,520.6270742358079,511.6646288209607,317.0,70.19,622.3788546255506,537.804296721649,0.06,SP,3539509
148,PONTAL,484.35129682997115,534.1902017291067,512.7268493150684,496.91808219178085,464.0,76.72,633.0167597765363,532.2406379684927,0.09,SP,3540200
149,PORTO FELIZ,503.62366412213737,562.6053435114504,542.1452296819788,523.812367491166,390.0,69.87,632.2181818181818,552.8809573249828,0.08,SP,3540606
150,PORTO FERREIRA,520.1964240102171,585.3765006385696,547.4933414043584,532.3348668280871,1067.0,75.395,686.9221260815822,574.4646517925628,0.21,SP,3540705
151,POÁ,494.78952830188683,545.2652830188679,538.537511111111,520.6417777777777,1635.0,66.82,618.6825251601098,543.5833250739507,0.32,SP,3539806
152,PRAIA GRANDE,495.9414207103552,542.0221110555277,533.0054494643689,519.3480204937122,3250.0,63.785,611.8486590038315,540.4331321455591,0.64,SP,3541000
153,PRESIDENTE EPITÁCIO,487.0058333333333,541.735,513.5726790450929,512.3225464190981,508.0,72.53999999999999,614.1935483870968,533.7659214369241,0.1,SP,3541307
154,PRESIDENTE PRUDENTE,498.2437331371106,551.1375766494972,524.6713187325256,513.3099487418452,5781.0,72.38,632.8875089562933,544.0500172434544,1.13,SP,3541406
155,PRESIDENTE VENCESLAU,490.9368995633188,540.2196506550218,513.7304979253112,505.38547717842323,651.0,72.195,630.4237288135594,536.1392508271268,0.13,SP,3541505
156,PROMISSÃO,506.8362139917695,554.2213991769547,529.9992277992278,516.5471042471042,322.0,77.95,654.0392156862745,552.3286321802661,0.06,SP,3541604
157,RANCHARIA,490.5019337016575,530.203314917127,514.5611111111111,499.03756613756616,558.0,66.305,617.1428571428571,530.2893566020637,0.11,SP,3542206
158,REGISTRO,497.4614864864865,557.5261261261261,529.6062499999999,522.3563559322034,1370.0,66.865,618.8803512623491,545.166113961433,0.27,SP,3542602
